Number of Student,Student ID,Subject,Are you Malaysian above 18 years old?,Where is your hometown?,Do you wish to go back hometown to vote?,I agree to continue my class as usual during 17 - 21 Nov 2022.,I agree to have online class replacement for the leaves during General Election 15.
27,D220101B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
28,B190196C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,No (Disagree),Yes
29,B210086B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),N/A
30,F220086C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
31,F220086C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
32,F220047B,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),N/A
33,ep190021,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
34,B220186C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,No (Disagree),No
35,F220007A,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
36,D220026A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),N/A
37,D200104B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
38,F220159C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
39,F220159C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
40,F220093C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),N/A
41,9F220100,Programming Logic and Design FACS1003,No,,,,N/A
42,D220103B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),N/A
43,F220080C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
44,F220101C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
